,MonthPE,DayPE,Date,Daily_Temp,Daily_Precipitation,Daily_Humidity,Daily_Pressure,Daily_WindDir,Daily_WindSpeed,Daily_DNI,Daily_GHI,Daily_radiation
2017-04-15,4,15,2017-04-15,28.37692307692308,58.36153846153846,80.79230769230769,1006.123076923077,183.53846153846155,1.6000000000000003,417.0,189.6153846153846,516.5384615384615
2017-04-16,4,16,2017-04-16,28.261538461538457,57.61538461538463,77.0,1006.2846153846154,148.76923076923077,1.953846153846154,355.7692307692308,193.53846153846155,478.38461538461536
2017-04-17,4,17,2017-04-17,28.676923076923075,53.06923076923078,77.42307692307692,1005.8384615384615,202.84615384615384,2.023076923076923,182.6153846153846,278.7692307692308,421.7692307692308
2017-04-18,4,18,2017-04-18,29.076923076923077,51.923076923076934,76.3,1005.2615384615383,205.84615384615384,2.230769230769231,50.53846153846154,311.0769230769231,354.38461538461536
2017-04-19,4,19,2017-04-19,29.54615384615384,52.284615384615385,75.17692307692306,1004.4384615384616,219.23076923076923,2.776923076923077,102.76923076923077,298.2307692307692,383.46153846153845
2017-04-20,4,20,2017-04-20,27.584615384615386,58.86923076923077,86.63846153846154,1005.3538461538462,224.6153846153846,2.230769230769231,26.923076923076923,118.38461538461539,134.3846153846154
2017-04-21,4,21,2017-04-21,26.876923076923084,56.407692307692315,88.69999999999997,1006.5461538461537,198.3846153846154,2.553846153846154,205.0,268.9230769230769,426.61538461538464
2017-04-22,4,22,2017-04-22,28.192307692307693,50.092307692307685,78.47692307692309,1006.5461538461537,228.76923076923077,2.607692307692308,170.3846153846154,293.2307692307692,431.3076923076923
2017-04-23,4,23,2017-04-23,28.492307692307694,53.49230769230769,76.86153846153846,1007.1846153846153,230.69230769230768,2.476923076923077,122.38461538461539,284.0,392.61538461538464
2017-04-24,4,24,2017-04-24,28.230769230769226,55.8,80.15384615384613,1007.1076923076921,211.76923076923077,2.5384615384615383,213.53846153846155,273.0,448.46153846153845
